Main Category,Sub-Category,Most_Efficient,#,Product URL,Product Name,Model,Description,Efficiency,Features,Size,Lighting,Market,Additional Model Identification,ENERGY STAR Unique ID,UPC Codes,Additional Model Names and/or Numbers,PDF File URL
Data Center Equipment,Uninterruptible Power Supplies,N/A,2413,https://www.energystar.gov/productfinder/product/certified-uninterruptible-power-supplies/details/2389340,Tripp Lite - AG-0529 : SMART600PSGLCD,,"Power Conversion Mechanism: Static
Minimum Configuration Tested Model Number: N/A
Active Output Power Rating Minimum Configuration (W): 360
Apparent Output Power Rating Minimum Configuration (VA): 600
Maximum Configuration Tested Model Number: N/A
Topology (ac): Line Interactive
Topology and Product Type Combined: ac Line Interactive (VI) Application: Consumer
Rated Input Voltage (V rms): 308-120
Rated Input Frequency (Hz): 50-60
Rated Output Voltage (V): 120-120
Rated Output Frequency (Hz): 50-60
Normal Mode(s) Input Dependency Characteristic (ac): Voltage Independent
Modular UPS: No
Number of Normal Modes: Single-normal-mode
Default Normal Mode (ac): Voltage Independent
Test Input Voltage (V rms): 120
Test Input Frequency (Hz): 60
Test Output Voltage (V): 120
Test Output Frequency (Hz): 60
Weighted Efficiency Calc Min Config Lowest Dependency: 99.7
Modular UPS Module Tested Model Number: N/A
Energy Storage Mechanism: Battery
Energy Storage System Technology: Valve Regulated Lead-acid Battery
Energy Storage System Configuration: Integral
Energy Storage System Removable to Another Room: No
Energy Storage System Runtime at 100% Load (min.): 3
Energy Storage System Runtime at 50% Load (min.): 7
Energy Storage System Warranty (yrs): 3
Energy Storage System Information URL: N/A
Manufacturer Take Back Program: Yes
Manufacturer Take Back Program URL: http://www.tripplite.com/en/support/recycling-program.cfm
Model Web Page URL: N/A - Product not available to the market yet
Test Method Guidelines: N/A","Total Input Power in W at 0% Load Min Config Lowest Dependency (ac): 12.1
Efficiency at 25% Load Min Config Lowest Dependency (ac): 88.5
Efficiency at 50% Load Min Config Lowest Dependency (ac): 99.8
Efficiency at 75% Load Min Config Lowest Dependency (ac): 99.7
Efficiency at 100% Load Min Config Lowest Dependency (ac): 99.8
Efficiency (%): 99.7","Rack Mountable: No
Network Connections Available: USB Port
Communication Protocols: None
ENERGY STAR Certified: Yes","Height (mm): 280
Width (mm): 105
Depth (mm): 308",,"Date Available on Market: 01/31/2022
Date Certified: 12/15/2021 Markets: United States, Canada",ENERGY STAR Unique ID: 2389340,2389340,784755155931,",INTERNET900TAA,",https://www.energystar.gov/productfinder/product/certified-uninterruptible-power-supplies/details/2389340/export/pdf/download
Electronics,Audio/Video,N/A,2547,https://www.energystar.gov/productfinder/product/certified-audio-video/details/2399476,JBL - Multi-Channel Soundbar with wireless subwoofer : BAR 500 SUB,,"Product Type: Audio Amplifier - Limited Bandwidth
Amplifier Channels: 2
Video Player Type: N/A
Tuner Included: No
Default Auto Power Down (APD) Timing (min.): 10
Is Amplifier Consumer or Commercial?: Consumer","Energy Use (Idle) (Watts): 0.0
Energy Use (Sleep Mode) (Watts): 0.3
Amplifier Input Power at 1/8 Maximum Undistorted Power (Watts): 17.3","Connected Technology: WiFi
ENERGY STAR Certified: Yes",,,"Date Available On Market: 11/10/2022 Markets: United States, Canada","ENERGY STAR Unique ID: 2399476
UPC Codes: 050036387743",2399476,050036387743,"HW-Q605C,HW-Q605C,Same as basic model except model designation; HW-Q60CC,HW-Q60CC,Same as basic model except model designation; HW-Q610C,HW-Q610C,Same as basic model except model designation; HW-Q610GC,HW-Q610GC,Same as basic model except model designation; HW-Q630C,HW-Q630C,Same as basic model except model designation",https://www.energystar.gov/productfinder/product/certified-audio-video/details/2399476/export/pdf/download
Electronics,Telephones,N/A,2681,https://www.energystar.gov/productfinder/product/certified-telephones/details/2511644,"VTECH - CORDLESS TELEPHONE : ""SN5307,SN6307, SN6307-#*, SN6307-##, SN5307-#*, SN5307-##""",,"ENERGY STAR Partner: VTech Telecommunications, Ltd.
Product Type: Analog Configuration: Additional Handset Frequency: None",Standby Power (W): 0.09,ENERGY STAR Certified: Yes,,,"Markets: United States, Canada",ENERGY STAR Unique ID: 2511644,2511644,"735078031228, 735078031235, 735078031242, 735078031365, 735078034939, 735078034946, 882032151567, 882032151574, 882032151581, 882032151598, 882032151604, 882032171091",",CS510*-#*,; ,CS5108,1 handset + 1 charger",https://www.energystar.gov/productfinder/product/certified-telephones/details/2511644/export/pdf/download
Electronics,Televisions,N/A,2808,https://www.energystar.gov/productfinder/product/certified-televisions/details/2649998,Clear Tunes - ATSC-PM81331,,"Application: Consumer
Display Type: LCD
Backlight Technology Type: Direct-lit LED
Resolution Format: Other
Native Vertical Resolution (pixels): 768
Native Horizontal Resolution (pixels): 1366
High Contrast Ratio (HCR) Display: No
Automatic Brightness Control: No
Is Automatic Brightness Control Enabled by Default in the Default SDR Preset Picture Setting When Television is Shipped?: N/A","Reported Annual Energy Consumption (kWh): 18.36
Power Consumption in Standby Mode when Not Connected to a Network (watts): 0.2
Power Consumption in Standby Mode when Connected to a Network (watts): 0.0
Average On Mode Power Consumption for Certification (watts): 9.3
Reported On Mode Power (per the Federal Test Procedure) (watts): 9.3","Low Power Wireless Technologies Supported: None Features: None
ENERGY STAR Certified: Yes",Size (in.): 13.23,,"Date Certified: 09/05/2023 Markets: United States, Canada","ENERGY STAR Unique ID: 2649998
UPC Codes: 840005019191, 840005019252
Additional Model Names and/or Numbers: ,ATSC-PM31331,; ,CT-1315N,; ,CT-1315S,; ,CT-1350N,; ,CT-1350S,; ,CT-1351N,; ,CT-1351S,; ,CT-1352N,; ,CT-1352S,; ,CT-1353N,; ,CT-1353S,; ,CT-1354N,; ,CT-1354S,; ,CT-1355N,; ,CT-1355S,; ,CT-1356N,; ,CT-1356S,; ,CT-1357N,; ,CT-1357S,; ,CT-1358N,; ,CT-1358S,; ,CT-1359N,; ,CT-1359S,; ,CT-1360N,; ,CT-1360S,; ,CT-1385S,; ,EXB13.3LED,; ,NTD-1356A,; ,PDVA-PM31331,; ,PDVA-PM81331,",2649998,"840005019191, 840005019252",",ATSC-PM31331,; ,CT-1315N,; ,CT-1315S,; ,CT-1350N,; ,CT-1350S,; ,CT-1351N,; ,CT-1351S,; ,CT-1352N,; ,CT-1352S,; ,CT-1353N,; ,CT-1353S,; ,CT-1354N,; ,CT-1354S,; ,CT-1355N,; ,CT-1355S,; ,CT-1356N,; ,CT-1356S,; ,CT-1357N,; ,CT-1357S,; ,CT-1358N,; ,CT-1358S,; ,CT-1359N,; ,CT-1359S,; ,CT-1360N,; ,CT-1360S,; ,CT-1385S,; ,EXB13.3LED,; ,NTD-1356A,; ,PDVA-PM31331,; ,PDVA-PM81331,",https://www.energystar.gov/productfinder/product/certified-televisions/details/2649998/export/pdf/download
Heating & Cooling,Boilers,N/A,2917,https://www.energystar.gov/productfinder/product/certified-boilers/details/2221884,Energy Kinetics - Accel CS EK1C : Accel CS EK1C 90,,"Fuel Type: Natural Gas,Propane Gas
Can Integrate Hot Water Heating: Yes",Efficiency (AFUE): 97,ENERGY STAR Certified: Yes,,,Date Available On Market: 01/01/2013 Markets: United States,"ENERGY STAR Unique ID: 2221884
Additional Model Names and/or Numbers: Condensing,Max Input 90,000 Btu/Hr, Min Input 18,000 Btu/Hr,",2221884,,"Condensing,Max Input 90,000 Btu/Hr, Min Input 18,000 Btu/Hr,",https://www.energystar.gov/productfinder/product/certified-boilers/details/2221884/export/pdf/download
Heating & Cooling,Commercial Boilers,N/A,3070,https://www.energystar.gov/productfinder/product/certified-commercial-boilers/details/2378997,Lochinvar - FTXL : FTX1000N,,"ENERGY STAR Partner: Lochinvar, LLC
Control Type: Multi-stage Application: Indoor","Full Load Input Rate (kBtu/hr): 999.0
Thermal Efficiency (%): 98.3
Turndown Ratio: 10",ENERGY STAR Certified: Yes,,,"Date Available on Market: 06/15/2021 Markets: United States, Canada",ENERGY STAR Unique ID: 2378997,2378997,,,https://www.energystar.gov/productfinder/product/certified-commercial-boilers/details/2378997/export/pdf/download
Heating & Cooling,Furnaces,N/A,3201,https://www.energystar.gov/productfinder/product/certified-furnaces/details/2357822,Lennox - SLP99V Variable-Capacity Gas Furnace Series : SLP99UH090XV60C-*,,"Fuel Type: Natural Gas,Propane Gas
Furnace is ENERGY STAR Certified in: All",Efficiency (AFUE): 99.0,"Can Integrate Hot Water Heating: No
Capable of Two Way Communication?: Other/Proprietary
ENERGY STAR Certified: Yes",,,"Date Available On Market: 04/01/2020 Markets: United States, Canada",ENERGY STAR Unique ID: 2357822,2357822,,,https://www.energystar.gov/productfinder/product/certified-furnaces/details/2357822/export/pdf/download
Heating & Cooling,Geothermal Heat Pumps,Yes,3334,https://www.energystar.gov/productfinder/product/certified-geothermal-heat-pumps/details/3477800,GeoCool - GEOCOOL : GCSHPM048IN,,Type: Open Loop Water-to-Air,"COP Rating: 5.2
Energy Efficiency (EER): 49.0","ENERGY STAR Certified: Yes
Most Efficient  
:",,,"Markets: United States, Canada",ENERGY STAR Unique ID: 3477800,3477800,,"VStar Series,VVC10030***1*C***,; VStar Series,VVH10030***1*C***,; VStar Series,VVR10030***1*C***,; VStar Series,VVS10030***1*C***,",https://www.energystar.gov/productfinder/product/certified-geothermal-heat-pumps/details/3477800/export/pdf/download
Heating & Cooling,Light Commercial HVAC,N/A,3458,https://www.energystar.gov/productfinder/product/certified-light-commercial-hvac/details/3354894,Airquest - QuietComfort AC : PGR560***H***K1,,"ENERGY STAR Partner: Carrier Corporation Type: Very Small AC
Cooling Capacity (kBtu/h): 0.0
Heating Section Type: Electric Resistance
Split System or Single Package: Packaged
Refrigerant Type: R-410A
Refrigerant Type: R-410A (2088)","SEER2 Rating (Btu/Wh): 15.2
EER2 Rating (Btu/Wh): 11.5","Meets Peak Cooling Requirements: Yes
ENERGY STAR Certified: Yes",,,"Date Available On Market: 07/01/2023 Markets: United States, Canada",ENERGY STAR Unique ID: 3354894,3354894,,,https://www.energystar.gov/productfinder/product/certified-light-commercial-hvac/details/3354894/export/pdf/download
Heating & Cooling,Room Air Conditioners,No,3593,https://www.energystar.gov/productfinder/product/certified-room-air-conditioners/details/3627050,Gradient - CCHP11,,"Type: Window
Casement Window: None
Cooling Capacity (Btu/hr): 9300
Voltage (volts): 120
Product Class: 11. With reverse cycle, with louvered sides, and less than 20,000 Btu/h
Installation Mounting Type: Straddles Window
Support Bracket: Yes
Variable Speed Compressor: Yes
Refrigerant Type: R-32 (675)","Annual Energy Use (kWh/yr): 415.2
Combined Energy Efficiency Ratio (CEER): 16.8
Percent Less Energy Use than US Federal Standard: 71","Connected Capable: No
Heating Mode: Yes
Low Noise: No
ENERGY STAR Certified: Yes
Most Efficient  : No","Height (inches): 24.0
Width (inches): 25.3
Depth (inches): 37.3
Weight (lbs): 140.0",,Date Certified: 09/05/2024 Markets: United States,ENERGY STAR Unique ID: 3627050,3627050,840296508350,",H8W4MW-CA,",https://www.energystar.gov/productfinder/product/certified-room-air-conditioners/details/3627050/export/pdf/download
Heating & Cooling,Smart Thermostats,N/A,3722,https://www.energystar.gov/productfinder/product/certified-connected-thermostats/details/2328478,Emerson - Sensi 1F87U-42WF,"Thermostat Brand Owner: Emerson
Thermostat Brand Name: Emerson
Thermostat Model Name: Sensi
Thermostat Model Number: Sensi 1F87U-42WF
Family ID: FAM_1020720_12212022092613_151745","ENERGY STAR Partner: Emerson
Demand Response Summary: Emerson Sensi Thermostats are designed to integrate with Utility Demand Response (DR) programs. Sensi Thermostats also provide access via API’s to Demand Response Management Systems (DRMS) providers. Sensi Thermostats are compliant with the California Energy Commission 2016 Title 24, Part 6 JA5 via virtual end node for OpenADR signals.",Standby Power (W): 0.5,"Thermostat Heating and Cooling Control Features: Time of Day Usage,Geofencing (User Device Based),Humidity Sensing
Thermostat Communication Method: Wi-Fi
ENERGY STAR Certified: Yes",,,"Date Available on Market: 03/25/2014
Date Certified: 10/26/2018 Markets: United States, Canada","ENERGY STAR Unique ID: 2328478
UPC Codes: 786710553981",2328478,786710553981,",EB-STATE3LT-01,; ,EB-STATE3LT-02,; ,EB-STATE3LTBB-01,; ,EB-STATE3LTBR-01,; ,EB-STATE3LTC-02,; ,EB-STATE3LTCB-01,; ,EB-STATE3LTCR-01,; ,EB-STATE3LTIBB-01,; ,EB-STATE3LTIBR-01,; ,EB-STATE3LTICB-01,; ,EB-STATE3LTICR-01,; ,EB-STATE3LTP-02,; ,EB-STATE3LTPB-01,; ,EB-STATE3LTPC-02,; ,EB-STATE3LTRF-01,; ,EB-STATE3LTVP-01,; ,EB-STATE3LTVP2-01,",https://www.energystar.gov/productfinder/product/certified-connected-thermostats/details/2328478/export/pdf/download
Heating & Cooling,Ventilating Fans,No,3804,https://www.energystar.gov/productfinder/product/certified-ventilating-fans/details/2261806,Air King - N/A : DL4SGH,,"Type: Bathroom/Utility Room
Number of Speeds: 3 or more
Airflow 1 (cfm): 130.0
Airflow 2 (cfm): 80
Airflow 3 (cfm): 30
Bathroom and Utility Room Airflow at 0.25 in. w.g.: 130.2
Sound Level (sones): 0.3 - 0.3","Efficacy 1 (cfm/Watt): 19.0
Efficacy 2 (cfm/Watt): 18.2
Efficacy 3 (cfm/Watt): 9.7
Duct Size: 6 inch diameter
Total Input Power (Watts): 1.0","ENERGY STAR Certified: Yes
Most Efficient  : No",,"Lighting: Yes
Lighting Technology: LED
Total Light Output (lumens): 696
Light Color Appearance (CCT): 4000/4100K
Light Color Quality (CRI): 84
Light Source Life (Hours): 36000
Special Features (Dimming, Motion Sensing, etc.): Non-Dimmable","Date Available On Market: 12/21/2015 Markets: United States, Canada",ENERGY STAR Unique ID: 2261806,2261806,026715252619,,https://www.energystar.gov/productfinder/product/certified-ventilating-fans/details/2261806/export/pdf/download
Heating & Cooling,Ventilating Fans,Yes,3806,https://www.energystar.gov/productfinder/product/certified-ventilating-fans/details/2329322,Greenheck Fan Corporation - Model SP : SP-A50-90-VG,,"Type: Bathroom/Utility Room
Number of Speeds: 3 or more
Airflow 1 (cfm): 90.0
Airflow 2 (cfm): 70
Airflow 3 (cfm): 50
Bathroom and Utility Room Airflow at 0.25 in. w.g.: 90
Sound Level (sones): 0.3 - 0.5
Bathroom and Utility Room Sound Level (sones) at 0.25 in. w.g.: 0.5","Efficacy 1 (cfm/Watt): 17.8
Efficacy 2 (cfm/Watt): 19.3
Efficacy 3 (cfm/Watt): 18.3
Duct Size: 6 inch diameter","ENERGY STAR Certified: Yes
Most Efficient  
:",,Lighting: No,"Date Available On Market: 01/15/2017 Markets: United States, Canada",ENERGY STAR Unique ID: 2329322,2329322,803401167156,,https://www.energystar.gov/productfinder/product/certified-ventilating-fans/details/2329322/export/pdf/download
Lighting & Fans,Ceiling Fans,No,3929,https://www.energystar.gov/productfinder/product/certified-ceiling-fans/details/2385541,AERATRON - Ceiling Fan : AE+2WI60L***,,"Product Type: Standard Fan with Light Kit Indoor/Outdoor: Indoor Ceiling Fan
Blade Span (Diameter) (in.): 60","Ceiling Fan Efficiency (CFM/W): 483.0
Fan Power Consumption-Low Speed (W): 2.9
Fan Power Consumption-High Speed (W): 16.2
Fan Power Consumption-Standby (W): 0.5
Power Factor of Light Kit: 0.94
Total Lighting Input Power (Watts): 13.0","Connected Functionality: No
Ceiling Fan Features: None
Ceiling Fan Components Warranty (Years): 3
ENERGY STAR Certified: Yes
Most Efficient  
:",,"Shipped with ENERGY STAR Lamp(s): No
ENERGY STAR Lamp Partner: Shenzhen MTC Lighting Co., Ltd.
Total Light Output (lumens): 900
Light Color Appearance (CCT): 3000K
Light Kit Dimmability: Yes
Light Color Quality (CRI): 92
Light Source Rated Life (Hours): 54,000","Date Certified: 10/08/2021 Markets: United States, Canada","ENERGY STAR Unique ID: 2385541
UPC Codes: 850021862138, 850021862145, 850021862152, 850021862169, 850021862176, 850021862183
Additional Model Names and/or Numbers: ,,Each * to represent a letter or blank.",2385541,"850021862138, 850021862145, 850021862152, 850021862169, 850021862176, 850021862183",",,Each * to represent a letter or blank.",https://www.energystar.gov/productfinder/product/certified-ceiling-fans/details/2385541/export/pdf/download
Lighting & Fans,Ceiling Fans,Yes,3940,https://www.energystar.gov/productfinder/product/certified-ceiling-fans/details/2430171,Big Ass Fans - MK-HK4-071906,,"Product Type: Low-Mount HSSD Fan Only Indoor/Outdoor: Indoor Ceiling Fan
Blade Span (Diameter) (in.): 84","Ceiling Fan Efficiency (CFM/W): 387.0
Fan Power Consumption-High Speed (W): 42.3
Fan Power Consumption-Standby (W): 2.7","Connected Functionality: Yes
Ceiling Fan Features: Occupancy sensor
Ceiling Fan Components Warranty (Years): 3
ENERGY STAR Certified: Yes
Most Efficient  
:",,"Shipped with ENERGY STAR Lamp(s): No
Light Kit Dimmability: Yes",Date Certified: 12/28/2022 Markets: United States,"ENERGY STAR Unique ID: 2430171
UPC Codes: 840325208084",2430171,840325208084,,https://www.energystar.gov/productfinder/product/certified-ceiling-fans/details/2430171/export/pdf/download
Lighting & Fans,Light Bulbs,N/A,4051,https://www.energystar.gov/productfinder/product/certified-light-bulbs/details/2400368,7RY - A15D5.5WESG,,"ENERGY STAR Partner: Dongguan Ruiye Electronic Appliances Co.,Ltd.
Product Finder Bulb Type: General Purpose Replacement
Base Type: E26 (Medium)
Lamp Category: Omnidirectional Technology: LED
Life (hrs): 15000
Brightness (lumens): 600
Light Appearance (Kelvin): 3000
Color Quality (CRI): 82 R9: 7
Lamp Rated for Enclosed Fixtures: Yes","Energy Used (watts): 5.5
Efficacy (lumens/watt): 109.1
Power Factor: 0.9","Warranty (years): 3
Connected Lamp: No Dimmable: Dimmable
Dims Down to %: 10
Three Way: No
Special Features: Damp Location Rated
ENERGY STAR Certified: Yes","Maximum Overall Length (mm): 88.6
Maximum Overall Diameter (mm): 49.5",,"Date Certified: 08/18/2022
Date Available on Market: 08/18/2022 Markets: United States",ENERGY STAR Unique ID: 2400368,2400368,810004131866,",,Retail Number: SE-350.166",https://www.energystar.gov/productfinder/product/certified-light-bulbs/details/2400368/export/pdf/download
Lighting & Fans,Light Fixtures,N/A,4187,https://www.energystar.gov/productfinder/product/certified-light-fixtures/details/2303881,"PORTFOLIO - 4"" LED Surface Mount Downlight : LSR4B40[D010|D010TR] EC4B304090[27|30|35|40|50] 4LB[N|M|W]#[LI|MW|WMH|WH|H]",,"ENERGY STAR Partner: Cooper Lighting Solutions (formerly Eaton) Indoor/Outdoor: Indoor
Fixture Type: Downlight Surface Mount Technology: LED
Total Light Output (lumens): 2594
Appearance/Correlated Color Temperature (K): 2700K
Color Quality (CRI): 94
Light Sources Per Fixture: 1
Light Source Life (hrs): 50000
Light Source Connection/Base Type: N/A","Total Input Power (Watts): 4.3
Energy Efficiency - Measured Outside the Fixture (lumens/Watt): 603.3
Power Factor: 0.99","Special Features: 0-10V Dimming
ENERGY STAR Certified: Yes",,,"Date Available On Market: 09/21/2017
Date Certified: 09/22/2017 Markets: United States, Canada","ENERGY STAR Unique ID: 2303881
Additional Model Names and/or Numbers: ,LSRWM4B40[D010|D010TR] EC4B304090[27|30|35|40|50] 4LB[N|M|W]#[LI|H|WMH|WH],; ,LSSQR4B40[D010|D010TR] EC4B304090[27|30|35|40|50] 4LBSQ[SQ|CSSQ|LWW]#[LI|H|WMH|WH],; ,LSSSQ4B40[D010|D010TR] EC4B304090[27|30|35|40|50] 4LBSQ[SQ|CSSQ|LWW]#[LI|H|WMH|WH],; ,LSSSQRWM4B40 EC4B304090[27|30|35|40|50] 4LBSQ[SQ|CSSQ|LWW]#[LI|H|WMH|WH],; ,LSSSQSWM4B40[D010|D010TR] EC4B304090[27|30|35|40|50] 4LBSQ[SQ|CSSQ|LWW]#[LI|H|WMH|WH],",2303881,194672048832,",LSRWM4B40[D010|D010TR] EC4B304090[27|30|35|40|50] 4LB[N|M|W]#[LI|H|WMH|WH],; ,LSSQR4B40[D010|D010TR] EC4B304090[27|30|35|40|50] 4LBSQ[SQ|CSSQ|LWW]#[LI|H|WMH|WH],; ,LSSSQ4B40[D010|D010TR] EC4B304090[27|30|35|40|50] 4LBSQ[SQ|CSSQ|LWW]#[LI|H|WMH|WH],; ,LSSSQRWM4B40 EC4B304090[27|30|35|40|50]  4LBSQ[SQ|CSSQ|LWW]#[LI|H|WMH|WH],; ,LSSSQSWM4B40[D010|D010TR] EC4B304090[27|30|35|40|50]  4LBSQ[SQ|CSSQ|LWW]#[LI|H|WMH|WH],",https://www.energystar.gov/productfinder/product/certified-light-fixtures/details/2303881/export/pdf/download
Office Equipment,Computers,N/A,4315,https://www.energystar.gov/productfinder/product/certified-computers/details/2407796,Acer - N22Q18 : CV872,,"Type: Notebook
Category 1: Processor Brand: Intel
Category 1: Processor Name: Core i3
Category 1: Base Processor Speed Per Core (GHz): 1.2
Category 1: Physical CPU Cores (count): 6
Category 1: System Memory (GB): 8
Category 1: Default Low-power Mode: ALPM
Category 1: Operating System Name: ChromeOS
Sleep Mode Default Time Upon Shipment (min.): 9
Display Sleep Mode Default Time Upon Shipment (min.): 8","Category 1: Long Idle Power Used for Sleep Mode: Yes
Category 1: Off Mode (watts): 0.1
Category 1: Sleep Mode (watts): 0.1
Category 1: Long Idle (watts): 0.1
Category 1: Short Idle (watts): 0.1
Category 1: Base TEC Allowance (kWh): 8
Category 1: Functional Adder Allowances (kWh): 10.7
Category 1: TEC of Model (kWh): 1.3
Notebooks, Desktops, Integrated Computers, Slate/Tablets, Two-in-one Notebooks, and Portable All-in-ones Category for TEC (Typical Energy Consumption) Criteria: 1","Ethernet Capability: No
Touch Screen: No
ENERGY STAR Certified: Yes",,,"Date Available On Market: 01/19/2023
Date Certified: 02/02/2023 Markets: United States, Switzerland, Taiwan, Japan, Canada","ENERGY STAR Unique ID: 2407796
UPC Codes: 195133154178, 195133156981, 195133156998, 195133172196, 195133219808, 195133241427
Additional Model Names and/or Numbers: N22Q18,CV872T,",2407796,"195133154178, 195133156981, 195133156998, 195133172196, 195133219808, 195133241427","N22Q18,CV872T,",https://www.energystar.gov/productfinder/product/certified-computers/details/2407796/export/pdf/download
Office Equipment,Displays,No,4436,https://www.energystar.gov/productfinder/product/certified-displays/details/2683982,Casper - CSPE23-C238F,,"Product Type: Monitor
Panel Type: LCD
Maximum Luminance (candelas per square meter): 0.0
Power Source: Ac to dc internal power supply","Monitor Total Energy Consumption at 115 Volts (kWh/yr): 0.0
On Mode Power (watts): 11.67
Sleep Mode Power (watts): 0.1
Off Mode Power (watts): 0.0","Model Features: Built-In Speakers
Signal or Data Interfaces: VGA,Other,HDMI
Tiled Display System: No
ENERGY STAR Certified: Yes
Most Efficient  : No","Screen Size (inches): 23.8
Screen Area (square inches): 242.04
Native Resolution (pixels): 1920 x 1080
Total Native Resolution (megapixels): 2.1",,"Markets: United States, Switzerland, Taiwan, Japan, Canada",ENERGY STAR Unique ID: 2683982,2683982,884116452171,"PANA105TXXXX (X = A-Z, 0-9, /, -, blank, non-safety relevant),PANA105TXXXX (X = A-Z, 0-9, /, -, blank, non-safety relevant),",https://www.energystar.gov/productfinder/product/certified-displays/details/2683982/export/pdf/download
Office Equipment,Imaging Equipment,N/A,4557,https://www.energystar.gov/productfinder/product/certified-imaging-equipment/details/2740375,ATP - Portable thermal printer : BP41,,"Type: Printers
Intended Use: Consumer Condition: New
Marking Technology: Direct Thermal (DT)
Professional Imaging Product: No
Color Capability: Monochrome
Print Speed (ipm or mppm): 8
Page Format Size: Small
Automatic Duplex Output Capable: No",Power in Off (Watts): 0.05,ENERGY STAR Certified: Yes,,,"Markets: United States, Canada",ENERGY STAR Unique ID: 2740375,2740375,631264812261,"M09419, M0941902, M0941903, M0941902C, M0941903C, M0941904, M0941905, M0941906, M0941906C, M0941907, M0941908, M0941909,M09419, M0941902, M0941903, M0941902C, M0941903C, M0941904, M0941905, M0941906, M0941906C, M0941907, M0941908, M0941909,",https://www.energystar.gov/productfinder/product/certified-imaging-equipment/details/2740375/export/pdf/download
Other,Electric Vehicle Chargers (AC-Output),N/A,4685,https://www.energystar.gov/productfinder/product/certified-evse-ac-output/details/2668592,Lite-On Technology Corp - Charging Station : EX-1193-H,,"ENERGY STAR Partner: Lite-On Technology Corporation
Product Type: Level 2
Input Voltage (V): 240
Max Nameplate Output Current (A): 80
Maximum Output Power (kW): 19.2
Number of Outputs: 1
Maximum Output Cord Length (ft.): 23
Output Cord Gauge (AWG): 6","Full Current Operation Mode Test: Total Loss (watts): -273.8
Idle Mode Input Power (watts): 0.13
Idle Mode Power Factor: 15.4
Idle Mode Total Allowance (watts): 44.5
No Vehicle Mode Input Power (watts): 0.1
No Vehicle Mode Power Factor: 6.78
No Vehicle Mode Total Allowance (watts): 12.5
Partial On Mode Input Power (watts): 0.11
Partial On Mode Power Factor: 6.81
Partial On Mode Total Allowance (watts): 12.5","Automatic Brightness Control (ABC) Capable?: No
Network Connection Types Available: Wi-Fi or Gigabit Ethernet,Cellular
ENERGY STAR Certified: Yes",,,"Date Certified: 09/06/2023
Date Available on Market: 09/06/2023 Markets: United States, Canada",ENERGY STAR Unique ID: 2668592,2668592,715786248088,"Fleet,CPF50,; Fleet,CPF50-L18,; Fleet,CPF50-L18- PEDMNT-Dual,; Fleet,CPF50-L18-CMK6-PEDMNT-Dual,; Fleet,CPF50-L18-PEDMNT,; Fleet,CPF50-L18-PEDMNT-CMK6,; Fleet,CPF50-L18-WALLMNT-CMK6,; Fleet,CPF50-L23,; Fleet,CPF50-L23-CMK6-PEDMNT-Dual,; Fleet,CPF50-L23-PEDMNT,; Fleet,CPF50-L23-PEDMNT-CMK6,; Fleet,CPF50-L23-PEDMNT-Dual,; Fleet,CPF50-L23-WALLMNT-CMK6,; Home Flex,CPH50-NEMA14-50-L23,; Home Flex,CPH50-NEMA6-50-L23,",https://www.energystar.gov/productfinder/product/certified-evse-ac-output/details/2668592/export/pdf/download
Other,Electric Vehicle Chargers (DC-Output),N/A,4806,https://www.energystar.gov/productfinder/product/certified-evse-dc-output/details/3624341,Zerova - DSWA122I0ID,,"Type: DC-output (AC-input)
Rated Input Voltage (V) AC-Input: 480
DC-input or AC-input: AC-input
ENERGY STAR Partner: Zerova Technologies Taiwan Limited
Maximum Nameplate Output Current (A) AC-Input: 300.0
Maximum Measured Luminance of the High Res Display (candelas per m2): 110.3
Output Cord Length (ft.): 16
Number of Outputs: 2
Output Cord Gauge (AWG): 1/0
Single Phase or Three Phase: Three Phase
Product Configuration: All-in-One Product Configuration
Maximum Available Output Power: 120000.0
Maximum Output Power: 120.0","Idle Mode Input Power (watts) AC- Input: 220.5
No Vehicle Mode Input Power (watts) AC-Input: 94.22
No Vehicle Mode Power Factor AC-Input: 0.02
No Vehicle Mode Total Allowance (watts): 118.23
Partial On Mode Input Power (watts) AC-Input: 94.38
Partial On Mode Power Factor AC-Input: 0.02
Partial On Mode Total Allowance (watts): 118.23
Average Loading-Adjusted Efficiency (%) AC-Input: 112.63","Automatic Brightness Control Capable?: No
Connected Capable: Yes
Connects Using: Wired Ethernet
Network Connection Types Available: Gigabit Ethernet
Screen Area, if EVSE has high res display (in2): 20.53
Connector Type: Combined Charging System (CCS)
DR Protocol: Other,CSU system
Is Broadband Internet Connection Needed for Demand Response?: No
Network Security Standards: Open Charge Point Protocol (OCPP)
Protocols Used to Support Smart Charging: Other,TLS1.2/TLS1.3
Integral Battery Bank: No
Product Features: smart charging distribute solution.
Auxiliary Product Features: High Resolution Display,PLC Board (ISO 15118),Credit Card Reader,Radio Frequency Identification (RFID),Revenue Grade Meter
ENERGY STAR Certified: Yes",,,"Date Certified: 08/26/2024
Date Available On Market: 05/28/2024 Markets: United States, Canada","ENERGY STAR Unique ID: 3624341
Additional Model Names and/or Numbers: ,DSWA122T0TD,",3624341,,",DSWA122T0TD,",https://www.energystar.gov/productfinder/product/certified-evse-dc-output/details/3624341/export/pdf/download
